_DeltaTime,_ExactTime,_Date,_content_cmd,_content_data_uname,_content_data_uid,_content_data_total_coin,_content_data_top_list,_content_data_timestamp,_content_data_tid,_content_data_tag_image,_content_data_svga_block,_content_data_super_gift_num,_content_data_super_batch_gift_num,_content_data_super,_content_data_silver,_content_data_send_master,_content_data_rnd,_content_data_remain,_content_data_rcost,_content_data_price,_content_data_original_gift_name,_content_data_num,_content_data_name_color,_content_data_medal_info_anchor_roomid,_content_data_medal_info_anchor_uname,_content_data_medal_info_guard_level,_content_data_medal_info_icon_id,_content_data_medal_info_is_lighted,_content_data_medal_info_medal_color,_content_data_medal_info_medal_color_border,_content_data_medal_info_medal_color_end,_content_data_medal_info_medal_color_start,_content_data_medal_info_medal_level,_content_data_medal_info_medal_name,_content_data_medal_info_special,_content_data_medal_info_target_id,_content_data_magnification,_content_data_is_special_batch,_content_data_is_first,_content_data_guard_level,_content_data_gold,_content_data_giftType,_content_data_giftName,_content_data_giftId,_content_data_float_sc_resource_id,_content_data_face,_content_data_effect_block,_content_data_effect,_content_data_draw,_content_data_dmscore,_content_data_discount_price,_content_data_demarcation,_content_data_crit_prob,_content_data_combo_total_coin,_content_data_combo_stay_time,_content_data_combo_send_action,_content_data_combo_send_combo_id,_content_data_combo_send_combo_num,_content_data_combo_send_gift_id,_content_data_combo_send_gift_name,_content_data_combo_send_gift_num,_content_data_combo_send_send_master,_content_data_combo_send_uid,_content_data_combo_send_uname,_content_data_combo_resources_id,_content_data_coin_type,_content_data_broadcast_id,_content_data_blind_gift,_content_data_biz_source,_content_data_beatId,_content_data_batch_combo_send_action,_content_data_batch_combo_send_batch_combo_id,_content_data_batch_combo_send_batch_combo_num,_content_data_batch_combo_send_blind_gift,_content_data_batch_combo_send_gift_id,_content_data_batch_combo_send_gift_name,_content_data_batch_combo_send_gift_num,_content_data_batch_combo_send_send_master,_content_data_batch_combo_send_uid,_content_data_batch_combo_send_uname,_content_data_batch_combo_id,_content_data_action,_msg_type,
46.37,19:35:29,2021.12.30,SEND_GIFT,Vermouth_小贝,369691411,1000,None,1640864128,1640864128121100002,,0,1,1,0,0,None,1640864128121100002,0,517588052,1000,,1,#00D1F1,0,,3,0,1,1725515,6809855,5414290,1725515,21,蕾丝,,777536,1,0,True,3,0,0,LEX充电宝,30567,0,http://i1.hdslb.com/bfs/face/f0137abd7ac91425d336929a45c08086c4c9fd9c.jpg,0,0,0,120,1000,2,0,1000,3,投喂,gift:combo_id:369691411:777536:30567:1640864128.5256,1,30567,LEX充电宝,1,None,369691411,Vermouth_小贝,1,gold,0,None,Live,,投喂,batch:gift:combo_id:369691411:777536:30567:1640864128.5266,1,None,30567,LEX充电宝,1,None,369691411,Vermouth_小贝,batch:gift:combo_id:369691411:777536:30567:1640864128.5266,投喂,gift,
52.83,19:35:35,2021.12.30,SEND_GIFT,吃红薯要用勺,482439,360000,None,1640864135,1640864135121900001,,0,1,1,0,0,None,1640864135121900001,0,517593874,450000,,1,#00D1F1,0,,3,0,1,398668,6809855,6850801,398668,26,蕾丝,,777536,1,0,True,3,0,0,为你加冕,31088,3,http://i0.hdslb.com/bfs/face/54a9ba84fd3aba86cc6c1f0e37ac94606e22b496.jpg,0,2,0,120,360000,3,0,450000,12,投喂,gift:combo_id:482439:777536:31088:1640864135.3373,1,31088,为你加冕,1,None,482439,吃红薯要用勺,3,gold,0,None,Live,,投喂,batch:gift:combo_id:482439:777536:31088:1640864135.3381,1,None,31088,为你加冕,1,None,482439,吃红薯要用勺,batch:gift:combo_id:482439:777536:31088:1640864135.3381,投喂,gift,
57.0,19:35:39,2021.12.30,SEND_GIFT,八带它不香,1774970478,1000,None,1640864138,1640864138131800001,,0,1,1,0,0,None,1640864138131800001,0,517593892,1000,,1,,0,,0,0,1,6067854,6067854,6067854,6067854,3,骚豆腐,,4578433,1,0,True,0,0,0,铃铛,31175,0,http://i0.hdslb.com/bfs/face/edd5e842447aadf0dc81419228f04dbcc78f1d39.jpg,0,0,0,16,1000,2,0,1000,3,投喂,gift:combo_id:1774970478:777536:31175:1640864138.7905,1,31175,铃铛,1,None,1774970478,八带它不香,1,gold,0,None,Live,,投喂,batch:gift:combo_id:1774970478:777536:31175:1640864138.7921,1,None,31175,铃铛,1,None,1774970478,八带它不香,batch:gift:combo_id:1774970478:777536:31175:1640864138.7921,投喂,gift,
59.11,19:35:41,2021.12.30,SEND_GIFT,两面宿傩嫁我,397213638,100,None,1640864141,1640864141121800003,,0,1,1,0,0,None,1640864141121800003,0,517593923,100,,1,,0,,0,0,1,9272486,9272486,9272486,9272486,11,蕾丝,,777536,1,0,True,0,0,0,粉丝团灯牌,31164,0,http://i0.hdslb.com/bfs/face/3658fc199a0cbc27b6760efcfed6dacb1b20d726.jpg,0,3,0,56,100,1,0,100,3,投喂,gift:combo_id:397213638:777536:31164:1640864141.3518,1,31164,粉丝团灯牌,1,None,397213638,两面宿傩嫁我,1,gold,0,None,Live,,投喂,batch:gift:combo_id:397213638:777536:31164:1640864141.3526,1,None,31164,粉丝团灯牌,1,None,397213638,两面宿傩嫁我,batch:gift:combo_id:397213638:777536:31164:1640864141.3526,投喂,gift,
63.27,19:35:46,2021.12.30,SEND_GIFT,Catalpa杏仁露,87471022,1000,None,1640864145,1640864145121200002,,0,1,1,0,0,None,1640864145121200002,0,517595575,1000,,1,,0,,0,0,1,12478086,12478086,12478086,12478086,13,蕾丝,,777536,1,0,True,0,0,0,LEX充电宝,30567,0,http://i1.hdslb.com/bfs/face/96cb44ef0cbd4f6dfc329d7fbd2c14c66cad4e69.jpg,0,0,0,56,1000,2,0,1000,3,投喂,gift:combo_id:87471022:777536:30567:1640864145.7277,1,30567,LEX充电宝,1,None,87471022,Catalpa杏仁露,1,gold,0,None,Live,,投喂,batch:gift:combo_id:87471022:777536:30567:1640864145.7300,1,None,30567,LEX充电宝,1,None,87471022,Catalpa杏仁露,batch:gift:combo_id:87471022:777536:30567:1640864145.7300,投喂,gift,
64.32,19:35:47,2021.12.30,SEND_GIFT,上不去大师的风之裁者,226955953,100,None,1640864146,1640864146111300003,,0,1,1,0,0,None,1640864146111300003,0,517595566,100,,1,,0,,0,0,0,6067854,12632256,12632256,12632256,1,火研社,,108712617,1,0,True,0,0,0,牛哇牛哇,31039,0,http://i1.hdslb.com/bfs/face/8dd1ea1904e5d60810ec1880c6fc6e58f3f41c45.jpg,0,0,0,16,100,1,0,100,3,投喂,gift:combo_id:226955953:777536:31039:1640864146.6430,1,31039,牛哇牛哇,1,None,226955953,上不去大师的风之裁者,1,gold,0,None,Live,0,投喂,batch:gift:combo_id:226955953:777536:31039:1640864146.6439,1,None,31039,牛哇牛哇,1,None,226955953,上不去大师的风之裁者,batch:gift:combo_id:226955953:777536:31039:1640864146.6439,投喂,gift,
65.36,19:35:48,2021.12.30,SEND_GIFT,叶时若,275641045,100,None,1640864147,1640864147121500002,,0,1,1,0,0,None,1640864147121500002,0,517595566,100,,1,,0,,0,0,1,6067854,6067854,6067854,6067854,2,蕾丝,,777536,1,0,True,0,0,0,心动卡,30869,0,http://i1.hdslb.com/bfs/face/f50ed12d93c978bfa1e98f9b603d5499edea0787.jpg,0,0,0,32,100,1,0,100,3,投喂,gift:combo_id:275641045:777536:30869:1640864147.6142,1,30869,心动卡,1,None,275641045,叶时若,1,gold,0,None,Live,,投喂,batch:gift:combo_id:275641045:777536:30869:1640864147.6150,1,None,30869,心动卡,1,None,275641045,叶时若,batch:gift:combo_id:275641045:777536:30869:1640864147.6150,投喂,gift,
66.41,19:35:49,2021.12.30,SEND_GIFT,核桃没有仁,456063626,100,None,1640864148,1640864148131600001,,0,1,1,0,0,None,1640864148131600001,0,517595617,100,,1,,0,,0,0,1,6067854,6067854,6067854,6067854,4,茄子,,546195,1,0,True,0,0,0,心动卡,30869,0,http://i2.hdslb.com/bfs/face/266e1391567fe5eff7f2497163b89f85ecfcaeb3.jpg,0,0,0,16,100,1,0,100,3,投喂,gift:combo_id:456063626:777536:30869:1640864149.0230,1,30869,心动卡,1,None,456063626,核桃没有仁,1,gold,0,None,Live,,投喂,batch:gift:combo_id:456063626:777536:30869:1640864149.0239,1,None,30869,心动卡,1,None,456063626,核桃没有仁,batch:gift:combo_id:456063626:777536:30869:1640864149.0239,投喂,gift,
67.45,19:35:50,2021.12.30,SEND_GIFT,蕾克西菜菜子,664223240,1000,None,1640864149,1640864149131000001,,0,1,1,0,0,None,1640864149131000001,0,517595626,1000,,1,,0,,0,0,1,6126494,6126494,6126494,6126494,5,蕾丝,,777536,1,0,True,0,0,0,LEX充电宝,30567,0,http://i2.hdslb.com/bfs/face/86c207184f9b754dde5e8f287f5c0de2a6dd1397.jpg,0,0,0,40,1000,2,0,1000,3,投喂,gift:combo_id:664223240:777536:30567:1640864149.3154,1,30567,LEX充电宝,1,None,664223240,蕾克西菜菜子,1,gold,0,None,Live,,投喂,batch:gift:combo_id:664223240:777536:30567:1640864149.3163,1,None,30567,LEX充电宝,1,None,664223240,蕾克西菜菜子,batch:gift:combo_id:664223240:777536:30567:1640864149.3163,投喂,gift,
67.45,19:35:50,2021.12.30,SEND_GIFT,江山巳jjs,155355534,100000,None,1640864149,1640864149131400001,,0,1,1,0,0,None,1640864149131400001,0,517596618,100000,,1,#00D1F1,0,,3,0,1,398668,6809855,6850801,398668,26,蕾丝,,777536,1,0,True,3,0,0,星愿水晶球,31122,2,http://i0.hdslb.com/bfs/face/ef1395dc60a070ccb832c6a6428fefd12b463a45.jpg,0,2,0,120,100000,3,0,100000,8,投喂,gift:combo_id:155355534:777536:31122:1640864149.9812,1,31122,星愿水晶球,1,None,155355534,江山巳jjs,0,gold,0,None,Live,,投喂,batch:gift:combo_id:155355534:777536:31122:1640864149.9820,1,None,31122,星愿水晶球,1,None,155355534,江山巳jjs,batch:gift:combo_id:155355534:777536:31122:1640864149.9820,投喂,gift,
69.53,19:35:52,2021.12.30,SEND_GIFT,听风和她,12003113,22000,None,1640864151,1640864151121300008,,0,1,1,0,0,None,1640864151121300008,0,517596863,22000,,1,#00D1F1,0,,3,0,1,1725515,6809855,5414290,1725515,24,蕾丝,,777536,1,0,True,3,0,0,告白花束,31053,2,http://i2.hdslb.com/bfs/face/da215fe4d0494b2b84acb59474d260ae2c42e2b6.jpg,0,2,0,120,22000,2,0,22000,5,投喂,gift:combo_id:12003113:777536:31053:1640864152.0139,1,31053,告白花束,1,None,12003113,听风和她,0,gold,0,None,Live,,投喂,batch:gift:combo_id:12003113:777536:31053:1640864152.0189,1,None,31053,告白花束,1,None,12003113,听风和她,batch:gift:combo_id:12003113:777536:31053:1640864152.0189,投喂,gift,
71.88,19:35:54,2021.12.30,SEND_GIFT,月光bot,13376687,100000,None,1640864153,1640864153111700001,,0,1,1,0,0,None,1640864153111700001,0,517597679,100000,,1,#E17AFF,0,,2,0,1,398668,16771156,6850801,398668,26,蕾丝,,777536,1,0,True,2,0,0,焰火,31176,2,http://i2.hdslb.com/bfs/face/8be3037bd2e2cc78c53342cd37a993798d52fdce.jpg,0,2,0,128,100000,3,0,100000,8,投喂,gift:combo_id:13376687:777536:31176:1640864153.7370,1,31176,焰火,1,None,13376687,月光bot,0,gold,0,None,Live,0,投喂,batch:gift:combo_id:13376687:777536:31176:1640864153.7378,1,None,31176,焰火,1,None,13376687,月光bot,batch:gift:combo_id:13376687:777536:31176:1640864153.7378,投喂,gift,
71.88,19:35:54,2021.12.30,SEND_GIFT,禁咕咕咕咕咕,525161183,100,None,1640864153,1640864153121300008,,0,1,1,0,0,None,1640864153121300008,0,517596680,100,,1,,0,,0,0,1,12478086,12478086,12478086,12478086,13,蕾丝,,777536,1,0,True,0,0,0,粉丝团灯牌,31164,0,http://i2.hdslb.com/bfs/face/1544b2fb252d64d1f5fb0233102248fc0e2b8679.jpg,0,3,0,56,100,1,0,100,3,投喂,gift:combo_id:525161183:777536:31164:1640864154.0028,1,31164,粉丝团灯牌,1,None,525161183,禁咕咕咕咕咕,1,gold,0,None,Live,,投喂,batch:gift:combo_id:525161183:777536:31164:1640864154.0038,1,None,31164,粉丝团灯牌,1,None,525161183,禁咕咕咕咕咕,batch:gift:combo_id:525161183:777536:31164:1640864154.0038,投喂,gift,
72.97,19:35:55,2021.12.30,SEND_GIFT,榴莲麦麦提,40702696,100,None,1640864155,1640864155121600003,,0,1,1,0,0,None,1640864155121600003,0,517597911,100,,1,,0,,0,0,1,9272486,9272486,9272486,9272486,10,蕾丝,,777536,1,0,True,0,0,0,i了i了,31060,0,http://i1.hdslb.com/bfs/face/c870f4b2c43b45eea0872b5c2edcd60054b57d9a.jpg,0,0,0,56,100,1,0,100,3,投喂,gift:combo_id:40702696:777536:31060:1640864155.6467,1,31060,i了i了,1,None,40702696,榴莲麦麦提,1,gold,0,None,Live,,投喂,batch:gift:combo_id:40702696:777536:31060:1640864155.6475,1,None,31060,i了i了,1,None,40702696,榴莲麦麦提,batch:gift:combo_id:40702696:777536:31060:1640864155.6475,投喂,gift,
74.07,19:35:56,2021.12.30,SEND_GIFT,玄江Mx,2836017,100,None,1640864156,1640864156131700001,,0,1,1,0,0,None,1640864156131700001,0,517597911,100,,1,,0,,0,0,1,1725515,1725515,5414290,1725515,21,蕾丝,,777536,1,0,True,0,0,0,牛哇牛哇,31039,0,http://i0.hdslb.com/bfs/face/4997d93832126c2dd17c25f5ce8c2bd45637b221.jpg,0,0,0,72,100,1,0,100,3,投喂,gift:combo_id:2836017:777536:31039:1640864156.0702,1,31039,牛哇牛哇,1,None,2836017,玄江Mx,1,gold,0,None,Live,,投喂,batch:gift:combo_id:2836017:777536:31039:1640864156.0712,1,None,31039,牛哇牛哇,1,None,2836017,玄江Mx,batch:gift:combo_id:2836017:777536:31039:1640864156.0712,投喂,gift,
76.22,19:35:59,2021.12.30,SEND_GIFT,榴莲麦麦提,40702696,100,None,1640864158,1640864158121600002,,0,10,10,0,0,None,1640864158121600002,0,517598023,100,,1,,0,,0,0,1,9272486,9272486,9272486,9272486,10,蕾丝,,777536,1,0,False,0,0,0,i了i了,31060,0,http://i1.hdslb.com/bfs/face/c870f4b2c43b45eea0872b5c2edcd60054b57d9a.jpg,0,0,0,56,100,1,0,1000,3,投喂,gift:combo_id:40702696:777536:31060:1640864155.6467,10,31060,i了i了,1,None,40702696,榴莲麦麦提,1,gold,0,None,Live,,投喂,batch:gift:combo_id:40702696:777536:31060:1640864155.6475,10,None,31060,i了i了,1,None,40702696,榴莲麦麦提,batch:gift:combo_id:40702696:777536:31060:1640864155.6475,投喂,gift,
81.49,19:36:04,2021.12.30,SEND_GIFT,趣味生煎不加盐,1909917246,100,None,1640864163,1640864163121600001,,0,1,1,0,0,None,1625026538,0,517598093,100,,1,,0,,0,0,0,0,0,0,0,0,,,0,1,0,True,0,0,0,牛哇牛哇,31039,0,http://i0.hdslb.com/bfs/face/807fa49ca2f1b734d6824dfa537ee1fd98fc4cdc.jpg,0,0,0,8,100,1,0,100,3,投喂,gift:combo_id:1909917246:777536:31039:1640864163.7172,1,31039,牛哇牛哇,1,None,1909917246,趣味生煎不加盐,1,gold,0,None,Live,,投喂,batch:gift:combo_id:1909917246:777536:31039:1640864163.7181,1,None,31039,牛哇牛哇,1,None,1909917246,趣味生煎不加盐,batch:gift:combo_id:1909917246:777536:31039:1640864163.7181,投喂,gift,
84.6,19:36:07,2021.12.30,SEND_GIFT,榴莲麦麦提,40702696,5200,None,1640864166,1640864166121600005,,0,1,1,0,0,None,1640864166121600005,0,517598265,5200,,1,,0,,0,0,1,9272486,9272486,9272486,9272486,10,蕾丝,,777536,1,0,True,0,0,0,情书,31044,0,http://i1.hdslb.com/bfs/face/c870f4b2c43b45eea0872b5c2edcd60054b57d9a.jpg,0,0,0,56,5200,2,0,5200,3,投喂,gift:combo_id:40702696:777536:31044:1640864166.9997,1,31044,情书,1,None,40702696,榴莲麦麦提,1,gold,0,None,Live,,投喂,batch:gift:combo_id:40702696:777536:31044:1640864167.0007,1,None,31044,情书,1,None,40702696,榴莲麦麦提,batch:gift:combo_id:40702696:777536:31044:1640864167.0007,投喂,gift,
84.6,19:36:07,2021.12.30,SEND_GIFT,timi1823,364666083,100,None,1640864167,1640864167121300001,,0,1,1,0,0,None,1640864167121300001,0,517598214,100,,1,,0,,0,0,1,6067854,6067854,6067854,6067854,1,芒果果,,14198063,1,0,True,0,0,0,牛哇牛哇,31039,0,http://i0.hdslb.com/bfs/face/01b2250fd9f21cfaf36e83e3f7a4c61dbf5a072b.jpg,0,0,0,16,100,1,0,100,3,投喂,gift:combo_id:364666083:777536:31039:1640864167.2079,1,31039,牛哇牛哇,1,None,364666083,timi1823,1,gold,0,None,Live,,投喂,batch:gift:combo_id:364666083:777536:31039:1640864167.2088,1,None,31039,牛哇牛哇,1,None,364666083,timi1823,batch:gift:combo_id:364666083:777536:31039:1640864167.2088,投喂,gift,
85.78,19:36:08,2021.12.30,SEND_GIFT,趣味生煎不加盐,1909917246,100,None,1640864167,1640864167121600003,,0,10,10,0,0,None,2115005235,0,517598214,100,,1,,0,,0,0,0,0,0,0,0,0,,,0,1,0,False,0,0,0,牛哇牛哇,31039,0,http://i0.hdslb.com/bfs/face/807fa49ca2f1b734d6824dfa537ee1fd98fc4cdc.jpg,0,0,0,8,100,1,0,1000,3,投喂,gift:combo_id:1909917246:777536:31039:1640864163.7172,10,31039,牛哇牛哇,1,None,1909917246,趣味生煎不加盐,1,gold,0,None,Live,,投喂,batch:gift:combo_id:1909917246:777536:31039:1640864163.7181,10,None,31039,牛哇牛哇,1,None,1909917246,趣味生煎不加盐,batch:gift:combo_id:1909917246:777536:31039:1640864163.7181,投喂,gift,
